stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
65,北方国际,2016,1,2016-04-28,36041.9631,39112.4757,-0.0785
65,北方国际,2016,2,2016-07-08,39925.5,37278.3,0.071
65,北方国际,2016,4,2017-01-25,49900.0,35273.7406,0.4147
65,北方国际,2017,1,2017-04-29,67172.9533,70027.5614,-0.0408
65,北方国际,2017,2,2017-08-31,61061.7452,66064.2626,-0.0757
65,北方国际,2017,4,2018-02-06,49780.8302,62659.5,-0.2055
65,北方国际,2018,4,2019-01-29,59502.8408,62100.0,-0.0418
65,北方国际,2019,2,2019-08-03,80028.563,71820.2848,0.1143
65,北方国际,2019,4,2020-04-20,70623.7373,64638.454,0.0926
66,中国长城,2016,2,2016-07-15,42717.25,46561.2857,-0.0826
66,中国长城,2016,3,2016-10-15,46589.0,44565.3333,0.0454
66,中国长城,2016,4,2017-01-20,5200.0,55282.5,-0.9059
66,中国长城,2017,2,2017-08-31,89947.5294,96916.375,-0.0719
66,中国长城,2017,3,2017-10-31,84874.6667,92714.5455,-0.0846
66,中国长城,2017,4,2018-01-26,65000.0,84978.0,-0.2351
66,中国长城,2018,1,2018-04-28,78945.0,71969.5001,0.0969
66,中国长城,2018,2,2018-08-31,103429.6,94800.0,0.091
66,中国长城,2018,4,2019-01-21,85000.0,71300.0,0.1921
66,中国长城,2019,2,2019-08-31,114910.566,122242.7796,-0.06
66,中国长城,2019,3,2019-10-31,120770.766,108746.5385,0.1106
66,中国长城,2019,4,2020-04-15,111502.0919,125911.828,-0.1144
68,华控赛格,2016,1,2016-04-21,17423.8571,19441.1715,-0.1038
68,华控赛格,2016,3,2016-08-12,9950.6763,12367.482,-0.1954
68,华控赛格,2016,4,2017-01-24,1200.0,6892.0064,-0.8259
68,华控赛格,2017,1,2017-03-22,16537.2,23513.8333,-0.2967
68,华控赛格,2017,2,2017-08-29,15811.0,22286.729,-0.2906
68,华控赛格,2017,4,2017-10-31,3500.0,15811.0,-0.7786
69,华侨城A,2016,1,2016-04-29,534557.2817,640043.1504,-0.1648
69,华侨城A,2016,4,2017-02-16,655229.52,527386.8255,0.2424
69,华侨城A,2017,1,2017-04-26,791492.9307,738940.608,0.0711
69,华侨城A,2017,2,2017-08-26,823090.5068,802194.9791,0.026
69,华侨城A,2017,3,2017-10-13,852657.0486,827451.2235,0.0305
69,华侨城A,2017,4,2018-03-06,842889.21,874029.2702,-0.0356
69,华侨城A,2018,1,2018-04-27,1058109.2598,1101681.3739,-0.0396
69,华侨城A,2018,2,2018-08-22,1023076.5161,1149334.6705,-0.1099
69,华侨城A,2018,4,2019-03-30,1058887.0564,1007786.9,0.0507
69,华侨城A,2019,1,2019-04-26,1245711.7928,1202016.7,0.0364
70,特发信息,2016,1,2016-04-29,22533.7643,14442.5159,0.5602
70,特发信息,2016,4,2016-10-27,21147.0,23019.2559,-0.0813
70,特发信息,2017,1,2017-04-25,30670.25,35425.2031,-0.1342
70,特发信息,2017,2,2017-08-15,27942.3529,30534.8742,-0.0849
