股票代码,公司简称,统计日期,发布时间,预告类型
39,中集集团,2019-12-31,2020-01-23,预减
40,东旭蓝天,2016-03-31,2016-04-15,预增
40,东旭蓝天,2016-06-30,2016-07-14,预增
40,东旭蓝天,2016-09-30,2016-10-15,预增
40,东旭蓝天,2016-12-31,2017-01-26,预增
40,东旭蓝天,2017-06-30,2017-06-06,预增
40,东旭蓝天,2017-09-30,2017-10-13,预增
40,东旭蓝天,2017-12-31,2018-01-30,预增
40,东旭蓝天,2018-03-31,2018-04-14,预增
40,东旭蓝天,2018-06-30,2018-07-13,预增
40,东旭蓝天,2018-09-30,2018-10-15,预增
40,东旭蓝天,2018-12-31,2019-01-31,预增
40,东旭蓝天,2019-03-31,2019-04-15,预减
40,东旭蓝天,2019-06-30,2019-07-06,预减
40,东旭蓝天,2019-09-30,2019-10-15,预减
40,东旭蓝天,2019-12-31,2020-01-23,首亏
42,中洲控股,2016-03-31,2016-04-12,预减
42,中洲控股,2016-06-30,2016-04-29,预减
42,中洲控股,2016-09-30,2016-08-30,预减
42,中洲控股,2017-06-30,2017-07-15,预增
42,中洲控股,2017-09-30,2017-08-29,预增
42,中洲控股,2017-12-31,2017-10-27,预增
42,中洲控股,2018-03-31,2018-04-14,预增
42,中洲控股,2018-06-30,2018-07-14,预增
42,中洲控股,2018-09-30,2018-08-04,预增
42,中洲控股,2019-06-30,2019-07-13,预减
42,中洲控股,2019-12-31,2020-01-21,预增
43,中航善达,2016-03-31,2016-04-13,续亏
43,中航善达,2016-06-30,2016-07-08,扭亏
43,中航善达,2016-09-30,2016-10-14,减亏
43,中航善达,2016-12-31,2017-01-24,预减
45,深纺织A,2016-03-31,2016-04-09,首亏
45,深纺织A,2016-06-30,2016-07-09,首亏
45,深纺织A,2016-09-30,2016-10-12,首亏
45,深纺织A,2017-03-31,2017-04-11,扭亏
45,深纺织A,2017-06-30,2017-07-11,扭亏
45,深纺织A,2017-09-30,2017-10-12,扭亏
45,深纺织A,2018-03-31,2018-04-10,预增
45,深纺织A,2018-06-30,2018-07-13,预减
45,深纺织A,2018-09-30,2018-10-12,预减
45,深纺织A,2018-12-31,2019-01-26,首亏
45,深纺织A,2019-03-31,2019-04-13,预增
45,深纺织A,2019-06-30,2019-07-11,略减
45,深纺织A,2019-09-30,2019-10-15,略增
45,深纺织A,2019-12-31,2020-01-17,扭亏
46,泛海控股,2016-12-31,2017-01-24,预增
46,泛海控股,2017-03-31,2017-04-15,预增
46,泛海控股,2018-03-31,2018-04-11,预增
46,泛海控股,2018-12-31,2019-01-31,预减
46,泛海控股,2019-03-31,2019-04-15,预增
48,京基智农,2016-06-30,2016-04-30,预减
48,京基智农,2016-09-30,2016-08-30,预减
48,京基智农,2016-12-31,2016-10-31,预减
48,京基智农,2017-03-31,2017-04-15,首亏
48,京基智农,2017-06-30,2017-07-14,首亏
48,京基智农,2017-09-30,2017-10-14,首亏
48,京基智农,2017-12-31,2018-01-27,预增
48,京基智农,2018-03-31,2018-04-14,扭亏
48,京基智农,2018-06-30,2018-07-14,扭亏
48,京基智农,2018-09-30,2018-10-13,扭亏
48,京基智农,2018-12-31,2019-04-12,扭亏
48,京基智农,2019-03-31,2019-04-12,扭亏
48,京基智农,2019-06-30,2019-07-13,扭亏
48,京基智农,2019-09-30,2019-10-15,扭亏
48,京基智农,2019-12-31,2020-01-14,预增
49,德赛电池,2016-06-30,2016-07-13,略减
49,德赛电池,2016-12-31,2017-01-18,略增
49,德赛电池,2017-03-31,2017-03-13,预增
49,德赛电池,2017-06-30,2017-07-11,预增
49,德赛电池,2017-12-31,2018-01-16,略增
49,德赛电池,2018-09-30,2018-10-13,预增
49,德赛电池,2019-12-31,2020-01-16,略增
50,深天马A,2017-03-31,2017-04-01,预增
50,深天马A,2017-06-30,2017-07-13,预增
50,深天马A,2017-09-30,2017-10-12,预增
55,方大集团,2016-03-31,2016-04-13,预增
55,方大集团,2016-09-30,2016-09-22,预增
55,方大集团,2016-12-31,2017-01-12,预增
55,方大集团,2017-03-31,2017-04-11,预增
55,方大集团,2017-06-30,2017-05-15,预增
55,方大集团,2017-09-30,2017-08-01,预增
55,方大集团,2017-12-31,2018-01-22,预增
55,方大集团,2018-12-31,2019-01-16,预增
55,方大集团,2019-09-30,2019-10-12,预减
55,方大集团,2019-12-31,2019-10-26,预减
56,皇庭国际,2016-03-31,2016-04-15,预增
56,皇庭国际,2016-06-30,2016-07-14,预增
56,皇庭国际,2016-09-30,2016-10-15,预增
56,皇庭国际,2016-12-31,2017-01-24,预增
56,皇庭国际,2017-03-31,2017-04-15,预增
56,皇庭国际,2017-06-30,2017-07-13,预增
56,皇庭国际,2017-09-30,2017-10-14,预增
56,皇庭国际,2017-12-31,2018-01-31,预增
56,皇庭国际,2018-03-31,2018-04-14,略增
58,深赛格,2016-12-31,2017-01-24,预增
58,深赛格,2017-06-30,2017-04-29,预增
58,深赛格,2017-09-30,2017-08-29,略增
58,深赛格,2017-12-31,2017-10-31,预增
58,深赛格,2018-03-31,2018-04-18,预增
58,深赛格,2018-06-30,2018-04-28,预增
58,深赛格,2018-09-30,2018-08-31,预增
58,深赛格,2018-12-31,2019-04-16,预减
58,深赛格,2019-12-31,2020-01-10,预增
59,华锦股份,2016-03-31,2016-04-11,扭亏
59,华锦股份,2016-06-30,2016-07-12,预增
59,华锦股份,2016-09-30,2016-10-10,预增
59,华锦股份,2016-12-31,2016-12-28,预增
59,华锦股份,2017-03-31,2017-04-14,略减
59,华锦股份,2018-03-31,2018-04-13,略减
59,华锦股份,2018-06-30,2018-07-10,略减
59,华锦股份,2018-12-31,2019-01-19,略减
59,华锦股份,2019-03-31,2019-04-13,略增
60,中金岭南,2016-03-31,2016-04-15,首亏
60,中金岭南,2016-06-30,2016-07-06,预减
60,中金岭南,2016-09-30,2016-10-15,预增
60,中金岭南,2016-12-31,2017-01-10,预增
60,中金岭南,2017-03-31,2017-04-15,扭亏
60,中金岭南,2017-06-30,2017-06-13,预增
60,中金岭南,2017-09-30,2017-10-13,预增
60,中金岭南,2017-12-31,2018-01-24,预增
60,中金岭南,2018-03-31,2018-04-10,预增
61,农产品,2016-03-31,2016-04-15,扭亏
61,农产品,2016-09-30,2016-10-14,预增
61,农产品,2016-12-31,2017-01-25,预增
61,农产品,2017-06-30,2017-07-15,预减
61,农产品,2017-09-30,2017-10-14,预减
61,农产品,2017-12-31,2018-01-31,预减
61,农产品,2018-06-30,2018-07-14,首亏
61,农产品,2018-09-30,2018-10-15,预增
61,农产品,2018-12-31,2019-01-31,预增
61,农产品,2019-03-31,2019-04-13,预增
61,农产品,2019-06-30,2019-07-13,扭亏
61,农产品,2019-09-30,2019-10-15,预增
61,农产品,2019-12-31,2020-01-18,预增
62,深圳华强,2016-03-31,2016-04-12,略增
62,深圳华强,2016-12-31,2017-01-21,略增
62,深圳华强,2017-06-30,2017-07-15,预增
62,深圳华强,2018-03-31,2018-04-14,预增
62,深圳华强,2018-06-30,2018-07-13,预增
62,深圳华强,2018-09-30,2018-10-13,预增
62,深圳华强,2018-12-31,2019-01-30,预增
63,中兴通讯,2017-03-31,2017-03-08,略增
63,中兴通讯,2017-12-31,2017-10-19,扭亏
63,中兴通讯,2018-06-30,2018-07-14,首亏
63,中兴通讯,2018-09-30,2018-08-31,首亏
63,中兴通讯,2018-12-31,2018-10-26,首亏
63,中兴通讯,2019-03-31,2019-03-28,扭亏
63,中兴通讯,2019-06-30,2019-04-30,扭亏
63,中兴通讯,2019-09-30,2019-08-28,扭亏
63,中兴通讯,2019-12-31,2019-10-29,扭亏
65,北方国际,2016-06-30,2016-07-08,预增
65,北方国际,2016-09-30,2016-10-14,预增
65,北方国际,2016-12-31,2017-01-25,预增
65,北方国际,2017-09-30,2017-10-13,预增
65,北方国际,2018-06-30,2018-07-14,预增
66,中国长城,2016-03-31,2016-04-15,减亏
66,中国长城,2016-06-30,2016-07-15,减亏
66,中国长城,2016-09-30,2016-10-15,扭亏
66,中国长城,2016-12-31,2017-01-20,扭亏
66,中国长城,2017-03-31,2017-04-15,预增
66,中国长城,2017-06-30,2017-07-08,预增
66,中国长城,2017-09-30,2017-10-14,预增
66,中国长城,2017-12-31,2018-01-26,预增
66,中国长城,2018-12-31,2019-01-21,预增
66,中国长城,2019-03-31,2019-04-13,预减
68,华控赛格,2016-06-30,2016-04-21,续亏
68,华控赛格,2016-09-30,2016-08-12,续亏
68,华控赛格,2016-12-31,2017-01-24,续盈
68,华控赛格,2017-03-31,2017-03-22,续亏
68,华控赛格,2017-06-30,2017-04-20,减亏
68,华控赛格,2017-09-30,2017-08-29,续亏
68,华控赛格,2017-12-31,2017-10-31,预增
68,华控赛格,2018-03-31,2018-04-14,续亏
68,华控赛格,2018-06-30,2018-04-17,续亏
68,华控赛格,2018-09-30,2018-08-28,续亏
68,华控赛格,2018-12-31,2019-01-31,首亏
68,华控赛格,2019-03-31,2019-04-13,续亏
68,华控赛格,2019-06-30,2019-07-13,续亏
68,华控赛格,2019-09-30,2019-10-15,续亏
68,华控赛格,2019-12-31,2020-01-22,扭亏
69,华侨城A,2017-09-30,2017-10-13,预增
70,特发信息,2016-03-31,2016-04-15,预增
70,特发信息,2016-06-30,2016-07-13,预增
70,特发信息,2016-09-30,2016-10-14,预增
70,特发信息,2016-12-31,2017-01-17,预增
70,特发信息,2018-12-31,2019-01-09,略增
78,海王生物,2016-06-30,2016-04-29,预增
78,海王生物,2017-03-31,2017-04-12,预增
